campus,street_address,city,state,zip,full_address,lat,lon
Cal Poly Humboldt,1 Harpst St,Arcata,CA,95521,"1 Harpst St, Arcata, CA 95521",40.8755745,-124.078044
Cal Poly Pomona,3801 W Temple Ave,Pomona,CA,91768,"3801 W Temple Ave, Pomona, CA 91768",34.0502096,-117.8147893
Cal Poly San Luis Obispo,1 Grand Ave,San Luis Obispo,CA,93407,"1 Grand Ave, San Luis Obispo, CA 93407",35.2989547,-120.6571889
CSU Bakersfield,9001 Stockdale Hwy,Bakersfield,CA,93311,"9001 Stockdale Hwy, Bakersfield, CA 93311",35.354339,-119.10415
CSU Channel Islands,1 University Dr,Camarillo,CA,93012,"1 University Dr, Camarillo, CA 93012",34.1672689,-119.045118
CSU Chico,400 W 1st St,Chico,CA,95929,"400 W 1st St, Chico, CA 95929",39.7278001,-121.8437471
CSU Dominguez Hills,1000 E Victoria St,Carson,CA,90747,"1000 E Victoria St, Carson, CA 90747",33.8652863,-118.25905
CSU East Bay,25800 Carlos Bee Blvd,Hayward,CA,94542,"25800 Carlos Bee Blvd, Hayward, CA 94542",37.6559134,-122.0573211
CSU Fresno,5241 N Maple Ave,Fresno,CA,93740,"5241 N Maple Ave, Fresno, CA 93740",36.8108893,-119.7349882
CSU Fullerton,800 N State College Blvd,Fullerton,CA,92831,"800 N State College Blvd, Fullerton, CA 92831",33.8845707,-117.8820603
CSU Long Beach,1250 Bellflower Blvd,Long Beach,CA,90840,"1250 Bellflower Blvd, Long Beach, CA 90840",33.7874282,-118.1144116
CSU Los Angeles,5151 State University Dr,Los Angeles,CA,90032,"5151 State University Dr, Los Angeles, CA 90032",34.0664949,-118.1671415
CSU Maritime Academy,200 Maritime Academy Dr,Vallejo,CA,94590,"200 Maritime Academy Dr, Vallejo, CA 94590",38.074009,-122.230867
CSU Monterey Bay,100 Campus Center,Seaside,CA,93955,"100 Campus Center, Seaside, CA 93955",36.654,-121.8019
CSU Northridge,18111 Nordhoff St,Northridge,CA,91330,"18111 Nordhoff St, Northridge, CA 91330",34.2455346,-118.5263221
CSU Sacramento,6000 J St,Sacramento,CA,95819,"6000 J St, Sacramento, CA 95819",38.5599044,-121.4240819
CSU San Bernardino,5500 University Pkwy,San Bernardino,CA,92407,"5500 University Pkwy, San Bernardino, CA 92407",34.1874181,-117.3281092
CSU San Marcos,333 S Twin Oaks Valley Rd,San Marcos,CA,92096,"333 S Twin Oaks Valley Rd, San Marcos, CA 92096",33.1295667,-117.1606492
CSU Stanislaus,1 University Cir,Turlock,CA,95382,"1 University Cir, Turlock, CA 95382",37.5255828,-120.8557784
San Diego State University,5500 Campanile Dr,San Diego,CA,92182,"5500 Campanile Dr, San Diego, CA 92182",32.7729919,-117.0736735
San Francisco State University,1600 Holloway Ave,San Francisco,CA,94132,"1600 Holloway Ave, San Francisco, CA 94132",37.7211834,-122.4765973
San José State University,1 Washington Sq,San Jose,CA,95192,"1 Washington Sq, San Jose, CA 95192",37.3352,-121.8811
Sonoma State University,1801 E Cotati Ave,Rohnert Park,CA,94928,"1801 E Cotati Ave, Rohnert Park, CA 94928",38.3377166,-122.678352
